"aeroport","centralite"
"FRA-Frankfurt",56882
"CDG-Paris",55221
"AMS-Amsterdam",53592
"IST-Istanbul",51300
"ATL-Atlanta",46872
"PEK-Beijing",42436
"ORD-Chicago",41818
"MUC-Munich",36099
"DME-Moscow",35156
"DFW-Dallas-Fort Worth",34595
"DXB-Dubai",33480
"LHR-London",28900
"IAH-Houston",28392
"DEN-Denver",28392
"LGW-London",27225
"BCN-Barcelona",26569
"JFK-New York",25920
"FCO-Rome",24963
"MAD-Madrid",24648
"PVG-Shanghai",23256
"EWR-Newark",23256
"STN-London",23256
"CAN-Guangzhou",22052
"LAX-Los Angeles",22052
"DUS-Duesseldorf",21609
"BRU-Brussels",21462
"YYZ-Toronto",21462
"MAN-Manchester",21024
"SVO-Moscow",20736
"DUB-Dublin",20736
"CLT-Charlotte",19599
"VIE-Vienna",18906
"ZRH-Zurich",18632
"MIA-Miami",18090
"DTW-Detroit",18090
"LAS-Las Vegas",17689
"HKG-Hong Kong",17556
"ICN-Seoul",17161
"MSP-Minneapolis",16900
"PMI-Palma de Mallorca",15876
"SIN-Singapore",15376
"IAD-Washington",15372
"ARN-Stockholm",15129
"PHL-Philadelphia",14762
"CPH-Copenhagen",14520
"BKK-Bangkok",14400
"ORY-Paris",14042
"DOH-Denizli",13455
"AGP-Malaga",13225
"KUL-Kuala Lumpur",12210
"LED-St. Petersburg",12208
"TXL-Berlin",11990
"MXP-Milano",11877
"CTU-Chengdu",11664
"OSL-Oslo",10816
"SFO-San Francisco",10816
"NRT-Tokyo",10609
"ATH-Athens",10608
"BOS-Boston",10506
"TPE-Taipei",10506
"MCO-Orlando",10404
"LIS-Lisbon",10403
"JED-Jeddah",10272
"GVA-Geneva",10100
"SAW-Istanbul",9604
"FLL-Fort Lauderdale",9409
"ALC-Alicante",9216
"DEL-Delhi",9216
"KMG-Kunming",9025
"PRG-Prague",8836
"MEX-Mexico City",8742
"YUL-Montreal",8556
"CGN-Cologne",8464
"SEA-Seattle",8460
"PHX-Phoenix",8281
"GRU-Sao Paulo",8280
"SLC-Salt Lake City",8190
"NCE-Nice",8100
"DCA-Washington",8099
"CKG-Chongqing",7921
"EDI-Edinburgh",7832
"HEL-Helsinki",7744
"CMN-Casablanca",7569
"HAM-Hamburg",7569
"AUH-Abu Dhabi",7568
"XIY-Xi'an",7396
"SZX-Shenzhen",7396
"LTN-London",7225
"SYD-Sydney",7055
"MRS-Marseille",6972
"CRL-Charleroi",6889
"TFS-Tenerife",6889
"CAI-Cairo",6642
"BOM-Mumbai",6642
"JNB-Johannesburg",6642
"LPA-Gran Canaria",6640
"BHX-Birmingham",6561
"BGY-Bergamo",6400
"STR-Stuttgart",6400
"TLV-Tel-aviv",6162
"RUH-Riyadh",6162
"MNL-Manila",6084
"WAW-Warsaw",6084
"CUN-Cancun",6084
"SHJ-Sharjah",5929
"BUD-Budapest",5929
"LYS-Lyon",5852
"MLA-Malta",5776
"YVR-Vancouver",5625
"MDW-Chicago",5550
"BOG-Bogota",5476
"HND-Tokyo",5402
"VCE-Venice",5329
"BRS-Bristol",5256
"VKO-Moscow",5256
"XMN-Xiamen",5184
"BWI-Baltimore",5184
"PTY-Panama City",5184
"HGH-Hangzhou",5184
"CSX-Changcha",4900
"LGA-New York",4830
"ADD-Addis Ababa",4824
"SXF-Berlin",4692
"RIX-Riga",4624
"SHA-Shanghai",4556
"TPA-Tampa",4556
"OTP-Bucharest",4488
"WUH-Wuhan",4356
"BSL-Mulhouse",4290
"PSA-Pisa",4225
"SVX-Yekaterinburg",4224
"BLQ-Bologna",4096
"AYT-Antalya",4032
"CGK-Jakarta",4032
"GLA-Glasgow",3906
"NBO-Nairobi",3904
"ALG-Algier",3844
"SHE-Shenyang",3844
"FAO-Faro",3843
"EIN-Eindhoven",3782
"KBP-Kiev",3782
"OPO-Porto",3721
"STL-St. Louis",3660
"TUN-Tunis",3600
"YYC-Calgary",3540
"DLC-Dalian",3481
"BVA-Beauvais",3481
"HER-Heraklion",3422
"IBZ-Ibiza",3364
"HRB-Harbin",3306
"EMA-East Midlands",3249
"PDX-Portland",3249
"KIX-Osaka",3249
"VLC-Valencia",3249
"BNE-Brisbane",3245
"TAS-Tashkent",3192
"AMM-Amman",3192
"KWI-Kuwait",3136
"CLE-Cleveland",3136
"LIM-Lima",3136
"NTE-Nantes",3080
"SAN-San Diego",3080
"ACE-Arrecife",3078
"URC-Urumqi",3025
"CGO-Zhengzhou",3025
"SKG-Thessaloniki",2970
"MEL-Melbourne",2970
"SGN-Ho Chi Minh City",2916
"LUX-Luxemburg",2916
"NKG-Nanjing",2916
"TAO-Qingdao",2916
"LCA-Larnaca",2915
"MCT-Muscat",2756
"KRK-Krakow",2704
"TSN-Tianjin",2704
"FUE-Fuerteventura",2703
"OVB-Novosibirsk",2652
"BEG-Belgrade",2601
"NAP-Naples",2601
"LBA-Leeds",2601
"VCP-Campinas",2601
"HNL-Honolulu",2550
"HAJ-Hannover",2500
"CIA-Rome",2500
"GIG-Rio De Janeiro",2450
"GRO-Gerona",2401
"BOD-Bordeaux",2401
"BGO-Bergen",2401
"SJU-San Juan",2352
"NCL-Newcastle",2352
"RAK-Marrakech",2352
"SFB-Sanford",2352
"CTA-Catania",2350
"RHO-Rhodos",2350
"DMK-Bangkok",2304
"LPL-Liverpool",2304
"KWE-Guiyang",2304
"HOU-Houston",2303
"AKL-Auckland",2250
"FOC-Fuzhou",2209
"GDN-Gdansk",2209
"HHN-Hahn",2209
"CVG-Cincinnati",2209
"TYN-Taiyuan",2209
"DMM-Dammam",2209
"TLS-Toulouse",2162
"BNA-Nashville",2162
"CCS-Caracas",2116
"VNO-Vilnius",2116
"HAN-Hanoi",2116
"ALA-Alma-ata",2025
"ADB-Izmir",1980
"BSB-Brasilia",1980
"BEY-Beirut",1980
"PUJ-Punta Cana",1978
"NNG-Nanning",1936
"IKA-Tehran",1892
"BRE-Bremen",1849
"MCI-Kansas City",1849
"ESB-Ankara",1848
"NGO-Nagoya",1806
"AEP-Buenos Aires",1806
"DPS-Denpasar",1764
"AUS-Austin",1722
"LOS-Lagos",1722
"SOF-Sofia",1681
"DBV-Dubrovnik",1681
"TNA-Jinan",1681
"CMB-Colombo",1681
"BRI-Bari",1681
"SYX-Sanya",1681
"GDL-Guadalajara",1681
"MSQ-Minsk 2",1681
"KWL-Guilin",1640
"EZE-Buenos Aires",1600
"NAY-Beijing",1600
"BAH-Bahrain",1600
"BLR-Bangalore",1560
"SCL-Santiago",1560
"MSY-New Orleans",1521
"GYD-Baku",1521
"RDU-Raleigh-durham",1521
"BLL-Billund",1521
"PMO-Palermo",1482
"DWC-Dubai",1480
"NRN-Weeze",1444
"NGB-Ninbo",1444
"MFM-Macau",1444
"CAG-Cagliari",1444
"PER-Perth",1444
"SVQ-Sevilla",1444
"KHN-Nanchang",1444
"TSF-Treviso",1444
"MHD-Mashhad",1443
"MAA-Madras",1443
"NAS-Nassau",1406
"CFU-Kerkyra/corfu",1406
"HAK-Haikou",1406
"YEG-Edmonton",1406
