Airline,Airline ID,Name,Source airport,Source,Destination airport,Target,Country
2B,410,Aerocondor,AER,2965,KZN,2990,Portugal
2B,410,Aerocondor,ASF,2966,KZN,2990,Portugal
2B,410,Aerocondor,ASF,2966,MRV,2962,Portugal
2B,410,Aerocondor,CEK,2968,KZN,2990,Portugal
2B,410,Aerocondor,CEK,2968,OVB,4078,Portugal
2B,410,Aerocondor,DME,4029,KZN,2990,Portugal
2B,410,Aerocondor,DME,4029,NBC,6969,Portugal
2B,410,Aerocondor,DME,4029,UUA,6160,Portugal
2B,410,Aerocondor,EGO,6156,KGD,2952,Portugal
2B,410,Aerocondor,EGO,6156,KZN,2990,Portugal
2B,410,Aerocondor,GYD,2922,NBC,6969,Portugal
2B,410,Aerocondor,KGD,2952,EGO,6156,Portugal
2B,410,Aerocondor,KZN,2990,AER,2965,Portugal
2B,410,Aerocondor,KZN,2990,ASF,2966,Portugal
2B,410,Aerocondor,KZN,2990,CEK,2968,Portugal
2B,410,Aerocondor,KZN,2990,DME,4029,Portugal
2B,410,Aerocondor,KZN,2990,EGO,6156,Portugal
2B,410,Aerocondor,KZN,2990,LED,2948,Portugal
2B,410,Aerocondor,KZN,2990,SVX,2975,Portugal
2B,410,Aerocondor,LED,2948,KZN,2990,Portugal
2B,410,Aerocondor,LED,2948,NBC,6969,Portugal
2B,410,Aerocondor,LED,2948,UUA,6160,Portugal
2B,410,Aerocondor,MRV,2962,ASF,2966,Portugal
2B,410,Aerocondor,NBC,6969,DME,4029,Portugal
2B,410,Aerocondor,NBC,6969,GYD,2922,Portugal
2B,410,Aerocondor,NBC,6969,LED,2948,Portugal
2B,410,Aerocondor,NBC,6969,SVX,2975,Portugal
2B,410,Aerocondor,NJC,2972,SVX,2975,Portugal
2B,410,Aerocondor,NJC,2972,UUA,6160,Portugal
2B,410,Aerocondor,NUX,4364,SVX,2975,Portugal
2B,410,Aerocondor,OVB,4078,CEK,2968,Portugal
2B,410,Aerocondor,OVB,4078,SVX,2975,Portugal
2B,410,Aerocondor,SVX,2975,KZN,2990,Portugal
2B,410,Aerocondor,SVX,2975,NBC,6969,Portugal
2B,410,Aerocondor,SVX,2975,NJC,2972,Portugal
2B,410,Aerocondor,SVX,2975,NUX,4364,Portugal
2B,410,Aerocondor,SVX,2975,OVB,4078,Portugal
2B,410,Aerocondor,UUA,6160,DME,4029,Portugal
2B,410,Aerocondor,UUA,6160,LED,2948,Portugal
2B,410,Aerocondor,UUA,6160,NJC,2972,Portugal
2G,1654,Cargoitalia,BTK,2936,IKT,2937,Italy
2G,1654,Cargoitalia,BTK,2936,OVB,4078,Italy
2G,1654,Cargoitalia,CEK,2968,OVB,4078,Italy
2G,1654,Cargoitalia,HTA,2935,IKT,2937,Italy
2G,1654,Cargoitalia,IKT,2937,BTK,2936,Italy
2G,1654,Cargoitalia,IKT,2937,HTA,2935,Italy
2G,1654,Cargoitalia,IKT,2937,ODO,8944,Italy
2G,1654,Cargoitalia,IKT,2937,OVB,4078,Italy
2G,1654,Cargoitalia,IKT,2937,UKX,6924,Italy
2G,1654,Cargoitalia,IKT,2937,ULK,9026,Italy
2G,1654,Cargoitalia,IKT,2937,YKS,2923,Italy
2G,1654,Cargoitalia,KCK,2788,IKT,2937,Italy
2G,1654,Cargoitalia,MJZ,2925,OVB,4078,Italy
2G,1654,Cargoitalia,ODO,8944,IKT,2937,Italy
2G,1654,Cargoitalia,OVB,4078,BTK,2936,Italy
2G,1654,Cargoitalia,OVB,4078,CEK,2968,Italy
2G,1654,Cargoitalia,OVB,4078,IKT,2937,Italy
2G,1654,Cargoitalia,UKX,6924,IKT,2937,Italy
2G,1654,Cargoitalia,ULK,9026,IKT,2937,Italy
2G,1654,Cargoitalia,YKS,2923,IKT,2937,Italy
2I,8359,Star Peru (2I),AYP,2786,LIM,2789,Peru
2I,8359,Star Peru (2I),CUZ,2812,LIM,2789,Peru
2I,8359,Star Peru (2I),CUZ,2812,PEM,2808,Peru
2I,8359,Star Peru (2I),HUU,6067,LIM,2789,Peru
2I,8359,Star Peru (2I),IQT,2801,PCL,2781,Peru
2I,8359,Star Peru (2I),IQT,2801,TPP,2806,Peru
2I,8359,Star Peru (2I),LIM,2789,AYP,2786,Peru
2I,8359,Star Peru (2I),LIM,2789,CUZ,2812,Peru
2I,8359,Star Peru (2I),LIM,2789,HUU,6067,Peru
2I,8359,Star Peru (2I),LIM,2789,PCL,2781,Peru
2I,8359,Star Peru (2I),LIM,2789,TPP,2806,Peru
2I,8359,Star Peru (2I),PCL,2781,IQT,2801,Peru
2I,8359,Star Peru (2I),PCL,2781,LIM,2789,Peru
2I,8359,Star Peru (2I),PCL,2781,TPP,2806,Peru
2I,8359,Star Peru (2I),PEM,2808,CUZ,2812,Peru
2I,8359,Star Peru (2I),TPP,2806,IQT,2801,Peru
2I,8359,Star Peru (2I),TPP,2806,LIM,2789,Peru
2I,8359,Star Peru (2I),TPP,2806,PCL,2781,Peru
2J,470,Air Burkina,ABJ,253,BOY,247,Burkina Faso
2J,470,Air Burkina,ABJ,253,OUA,246,Burkina Faso
2J,470,Air Burkina,ACC,248,OUA,246,Burkina Faso
2J,470,Air Burkina,BKO,1044,ABJ,253,Burkina Faso
2J,470,Air Burkina,BKO,1044,DKR,1084,Burkina Faso
2J,470,Air Burkina,BKO,1044,OUA,246,Burkina Faso
2J,470,Air Burkina,BOY,247,ABJ,253,Burkina Faso
2J,470,Air Burkina,BOY,247,OUA,246,Burkina Faso
2J,470,Air Burkina,COO,245,LFW,298,Burkina Faso
2J,470,Air Burkina,COO,245,OUA,246,Burkina Faso
2J,470,Air Burkina,DKR,1084,BKO,1044,Burkina Faso
2J,470,Air Burkina,DKR,1084,OUA,246,Burkina Faso
2J,470,Air Burkina,LFW,298,OUA,246,Burkina Faso
2J,470,Air Burkina,NIM,280,OUA,246,Burkina Faso
2J,470,Air Burkina,OUA,246,ABJ,253,Burkina Faso
2J,470,Air Burkina,OUA,246,ACC,248,Burkina Faso
2J,470,Air Burkina,OUA,246,BKO,1044,Burkina Faso
2J,470,Air Burkina,OUA,246,BOY,247,Burkina Faso
2J,470,Air Burkina,OUA,246,COO,245,Burkina Faso
2J,470,Air Burkina,OUA,246,DKR,1084,Burkina Faso
2J,470,Air Burkina,OUA,246,LFW,298,Burkina Faso
2J,470,Air Burkina,OUA,246,NIM,280,Burkina Faso
2K,1338,Aerolineas Galapagos (Aerogal),BOG,2709,GYE,2673,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),BOG,2709,UIO,2688,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),CLO,2715,GYE,2673,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),GYE,2673,BOG,2709,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),GYE,2673,CLO,2715,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),GYE,2673,SCY,6045,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),GYE,2673,UIO,2688,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),OCC,2670,UIO,2688,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),SCY,6045,GYE,2673,Ecuador
2K,1338,Aerolineas Galapagos (Aerogal),UIO,2688,BOG,2709,Ecuador
