Source airport,Source,Destination airport,Target,Weight
AAE,220,ALG,210,1
AAE,220,CDG,1382,1
AAE,220,IST,1701,1
AAE,220,LYS,1335,1
AAE,220,MRS,1353,2
AAE,220,ORN,231,1
AAE,220,ORY,1386,2
AAL,628,AAR,607,1
AAL,628,AGP,1230,1
AAL,628,ALC,1212,1
AAL,628,AMS,580,2
AAL,628,ARN,737,1
AAL,628,BCN,1218,2
AAL,628,BLL,608,3
AAL,628,CPH,609,2
AAL,628,IST,1701,1
AAL,628,LGW,502,1
AAL,628,OSL,644,3
AAL,628,PMI,3998,1
AAL,628,SVG,666,1
AAN,5937,CCJ,3137,1
AAN,5937,PEW,2219,1
AAQ,4353,DME,4029,1
AAQ,4353,LED,2948,1
AAQ,4353,SVO,2985,1
AAR,607,AAL,628,1
AAR,607,AGP,1230,1
AAR,607,BMA,738,1
AAR,607,CPH,609,1
AAR,607,GOT,687,1
AAR,607,OSL,644,1
AAR,607,PMI,3998,1
AAR,607,STN,548,1
AAT,6946,URC,3399,2
AAX,7395,POJ,8237,1
AAY,3979,SAH,3980,1
ABA,2955,DME,4029,1
ABA,2955,IKT,2937,1
ABA,2955,NSK,4352,1
ABA,2955,SVO,2985,1
ABD,2097,MHD,4331,2
ABD,2097,SYZ,2157,1
ABD,2097,THR,2131,3
ABE,4355,ATL,3682,3
ABE,4355,CLT,3876,2
ABE,4355,DTW,3645,1
ABE,4355,MYR,3515,1
ABE,4355,ORD,3830,1
ABE,4355,PGD,7056,1
ABE,4355,PHL,3752,2
ABE,4355,PIE,3617,1
ABE,4355,SFB,4167,1
ABI,3718,DFW,3670,2
ABJ,253,ACC,248,7
ABJ,253,ALG,210,1
ABJ,253,BKO,1044,2
ABJ,253,BOY,247,1
ABJ,253,BRU,302,4
ABJ,253,CDG,1382,2
ABJ,253,CKY,4162,2
ABJ,253,CMN,1074,1
ABJ,253,COO,245,3
ABJ,253,DKR,1084,3
ABJ,253,DLA,897,1
ABJ,253,FNA,1059,1
ABJ,253,IST,1701,1
ABJ,253,LBV,970,1
ABJ,253,LFW,298,5
ABJ,253,LOS,273,4
ABJ,253,NBO,4059,1
ABJ,253,ORY,1386,1
ABJ,253,OUA,246,7
ABJ,253,ROB,1063,1
ABJ,253,TUN,287,1
ABL,7177,OTZ,3693,2
ABL,7177,SHG,7117,2
ABM,3318,CNS,3322,1
ABQ,4019,ATL,3682,5
ABQ,4019,BWI,3849,1
ABQ,4019,CNM,3597,1
ABQ,4019,DAL,3502,1
ABQ,4019,DEN,3751,3
ABQ,4019,DFW,3670,2
ABQ,4019,HOU,3566,1
ABQ,4019,IAH,3550,1
ABQ,4019,JFK,3797,1
ABQ,4019,LAM,7584,1
ABQ,4019,LAS,3877,2
ABQ,4019,LAX,3484,5
ABQ,4019,MCI,3458,2
ABQ,4019,MDW,3747,2
ABQ,4019,MSP,3858,1
ABQ,4019,OAK,3453,1
ABQ,4019,ORD,3830,3
ABQ,4019,PDX,3720,2
ABQ,4019,PHX,3462,3
ABQ,4019,SAN,3731,1
ABQ,4019,SEA,3577,1
ABQ,4019,SFO,3469,1
ABQ,4019,SLC,3536,1
ABR,5714,MSP,3858,1
ABS,1127,ASW,1136,1
ABT,2061,DMM,2064,1
ABT,2061,JED,2072,1
ABT,2061,RUH,2082,1
ABV,260,ACC,248,1
ABV,260,ADD,1107,1
ABV,260,BNI,262,1
ABV,260,CAI,1128,1
ABV,260,CBQ,263,1
ABV,260,CDG,1382,3
ABV,260,COO,245,1
ABV,260,ENU,264,1
ABV,260,FRA,340,1
ABV,260,IBA,266,1
ABV,260,ILR,267,1
ABV,260,KAN,270,1
ABV,260,LFW,298,1
ABV,260,LHR,507,1
ABV,260,LOS,273,1
ABV,260,NDJ,999,1
ABV,260,NIM,280,1
ABV,260,PHC,275,4
ABV,260,QOW,6730,1
ABV,260,QRW,6972,1
ABV,260,SKO,276,1
ABV,260,SSG,891,1
ABV,260,YOL,277,1
ABX,3333,MEL,3339,1
ABX,3333,SYD,3361,3
ABY,5715,ATL,3682,4
ABZ,532,AMS,580,1
ABZ,532,BGO,636,2
ABZ,532,BHD,467,1
ABZ,532,BHX,469,1
ABZ,532,BRS,490,1
ABZ,532,CDG,1382,3
ABZ,532,CPH,609,1
ABZ,532,DUB,599,1
ABZ,532,EBJ,610,1
ABZ,532,EMA,523,1
ABZ,532,FRA,340,1
ABZ,532,HUY,515,1
ABZ,532,KOI,529,1
ABZ,532,KSU,647,1
ABZ,532,LBA,517,1
ABZ,532,LCY,503,1
ABZ,532,LGW,502,1
ABZ,532,LHR,507,5
ABZ,532,LSI,530,1
ABZ,532,LTN,492,1
ABZ,532,MAN,478,2
ABZ,532,MME,522,1
ABZ,532,NCL,521,1
ABZ,532,NWI,547,2
ABZ,532,OSL,644,2
ABZ,532,RIX,3953,1
ABZ,532,SVG,666,3
ABZ,532,SYY,541,1
ABZ,532,WIC,531,1
ACA,1783,IAH,3550,1
ACA,1783,MEX,1824,3
ACA,1783,MTY,1825,1
ACA,1783,TIJ,1847,1
ACA,1783,TLC,1850,2
ACC,248,ABJ,253,8
ACC,248,ABV,260,1
ACC,248,ADD,1107,1
ACC,248,AMS,580,1
ACC,248,BEY,2177,1
ACC,248,CAI,1128,1
ACC,248,CMN,1074,1
ACC,248,COO,245,1
ACC,248,DKR,1084,3
ACC,248,DXB,2188,1
ACC,248,FCO,1555,1
ACC,248,FNA,1059,3
ACC,248,FRA,340,1
ACC,248,IST,1701,1
ACC,248,JFK,3797,1
ACC,248,JNB,813,1
ACC,248,KMS,5556,3
ACC,248,LFW,298,1
ACC,248,LHR,507,2
ACC,248,LIS,1638,1
ACC,248,LOS,273,4
ACC,248,MAD,1229,1
ACC,248,MLW,1062,1
ACC,248,NBO,4059,1
ACC,248,OUA,246,1
ACC,248,ROB,1063,4
ACC,248,TKD,252,1
ACC,248,TML,249,2
ACC,248,WDH,4105,1
ACE,1055,AMS,580,1
ACE,1055,BCN,1218,3
ACE,1055,BFS,465,2
ACE,1055,BGY,1525,1
ACE,1055,BHX,469,6
ACE,1055,BIO,1216,3
ACE,1055,BLK,514,1
ACE,1055,BLQ,1538,1
ACE,1055,BOH,494,1
ACE,1055,BRE,353,1
ACE,1055,BRS,490,2
ACE,1055,BVA,1367,1
ACE,1055,CGN,344,1
ACE,1055,CRL,304,1
ACE,1055,DUB,599,2
ACE,1055,DUS,345,2
ACE,1055,EDI,535,1
ACE,1055,EIN,585,1
ACE,1055,EMA,523,6
ACE,1055,FKB,4166,1
ACE,1055,FRA,340,2
ACE,1055,FUE,1051,5
ACE,1055,GLA,534,5
ACE,1055,HAJ,352,2
ACE,1055,HAM,342,2
ACE,1055,HHN,355,1
ACE,1055,LBA,517,3
ACE,1055,LEJ,348,2
ACE,1055,LGW,502,9
ACE,1055,LPA,1054,2
ACE,1055,LPL,491,2
ACE,1055,LTN,492,3
ACE,1055,LUX,629,1
ACE,1055,MAD,1229,3
ACE,1055,MAN,478,7
ACE,1055,MUC,346,2
ACE,1055,NCL,521,4
ACE,1055,NOC,600,1
ACE,1055,NRN,4198,1
ACE,1055,ORK,596,2
ACE,1055,OVD,1214,1
ACE,1055,PAD,371,1
ACE,1055,PIK,537,1
ACE,1055,SCQ,1243,2
ACE,1055,SDR,1251,1
ACE,1055,SNN,603,1
ACE,1055,STN,548,3
ACE,1055,STR,350,2
