Id_comment,commentaire,qualite
70308285,nous avons passé un séjour plutôt agréable dans ce petit logement très bien situé idéal pour une petite famille qui vient découvrir paris a deux pas du jardin des plantes lieu regorgeant d'activités pour les enfants ce fût un lieu de replis stratégique après une journée épuisante pour 2 jeunes garçonnets éblouis par la capitale ce petit appartement manque cependant d'un brin de vie et de quelques accessoires pour une vraie mère de famille qui souhaite nourrir ses enfants autrement qu'avec des pâtes,positif
10009075,très bel appartement idéalement situé fidel aux photos nous avons passé un super séjour à découvrir ce quartier magnifique merci à jf,positif
11011899,l'appartement est charmant calme et bien placé il est bien équipé avec un lit et un canapé lit confortables,positif
126590304,l'appartement est t'es bien situé à 2 pas d'une rue très commerçante très jolie déco l'accueil de max est très bien nous avons passé un bon séjour,positif
137382060,superbe appartement spacieux et confortable on s'y sent comme chez soit cyrille est très sympathique et disponible,positif
6778088,nous avons passes un très bon séjour l appartement est conforme a la description et aux photos le quartier est très sympa et l appart est calme important âpres une journée a se balader de paris dineen est une personne charmante qui nous donne des explications et des conseils pour passer un bon séjour nous avons appréciés le café le beurre et les confitures pour le petit dejeuner et la proximité de la boulangerie pour les croissants nous vous conseillons le petit restaurant italien dans la meme rue,positif
45538914,bien recu on a meme fait attendre le papa de nanou tres gentil appart propre et tres fonctionnel un tout petit bemole  un micro onde serai plus pratique pour les tres court sejour mais sans plus on reviendra avec grand plaisir merci nanou,positif
81996070,l'appartement est idéalement situé dans le quartier du marais à quelques minutes à pied du centre pompidou de l'hôtel de ville et de notre dame de paris il se caractérise par    son côté fonctionnel bonne exploitation des volumes rangements optimisés cuisine très bien équipée   sa clarté 4 grandes fenêtres   son charme et son confort décoration soignée poutres apparentes dans la chambre excellente literie   son grand calme aucun bruit ne filtre de la rue les relations avec frédéric le propriétaire furent simples et cordiales je recommande vivement cet appartement,positif
6932867,nous avons habité chez eriu 6 journée le studio est très bien équipé situé à 2 pas du métro sur une rue très tranquille au dernier étage de 6 sans ascenseur  mais personne sur la tête et orienté vers la court intérieur alors très très tranquille pour dormir elle était en vacance alors c'est son ami vincenzo qui était là pour nous accueillir le divan lit un peu mou nous avons tout simplement mit le matelas par terre pour dormir et c'était parfait eriu a toujours répondu à mes courriels très rapidement son ami vincenzo a été d'une bonne aide et à l'heure à notre rendez vous je vous conseil ce studio propre bien équipé tranquille,positif
599351,jean seb est juste le plus sympa des hôtes très cool arrangeant tout s'est passé pour le mieux habitant à qq stations de métro bastille nous avons eu l'impression de passer un we à la campagne à paris le quartier est fabuleux tout le monde a l'air de se connaître le chien de jean seb a fait le bonheur de ma fille une adresse à recommander fortement,positif
77141774,l'appartement de nathalie est mignon lumineux mais petit ça va très bien pour deux personnes il peut être un peu bruyant car il donne sur la rue et il y a une école pas loin quartier très sympathique,positif
3586621,un très bon accueil et un hôte très agréable un appartement très bien situé avec accès facile au métro et près de tous ce que l'on peut avoir besoin quotidiennement une très bonne expérience,positif
59517690,accueil très chaleureux de chafia avec une bonne organisation qui se donne la peine de nous aider pour les déplacements jusqu'à l'appartement quartier très agréable,positif
62861017,très bel appartement et bon accueil de chafia merci,positif
129761775,strictement fonctionnel l'appartement ne donne pas envie de s'attarder pas de fenêtre dans la pièce principale on trouve bien mieux pour moins cher mais peut être pas dans le 16e,positif
110759616,je recommande,positif
727015,cela a a été un véritable plaisir de partager ces 2 soirées avec céline l'appartement est idéalement situé 2 minutes d'une station de métro chaleureux et bien aménagé céline est une hôte accueillante sympathique et qui sait mettre à l'aise n'hésitez plus vous avez trouvé la chambre que vous cherchiez,positif
131986035,près de la rue daguerre très commerçante et piétonne à voir et faire ses petites courses appartement bien mais le coin cuisine ne permet pas de faire grand chose,positif
776322,une excellente option tout d'abord l'accueil chaleureux d'estelle et pierre nous a bien fait commencer le séjour l'appartement est très bien situé les principaux endroits touristiques de la rive droite sont facilement accessibles à pied un supermarché à coté et un cadre sympa très recommandable una excelente opción estelle y pierre nos acogieron muy bien el apartamento está muy bien ubicado y desde él se puede acceder fácilmente a los principales sitios turísticos de rive droite a pie hay un supermercado muy cerca y el entorno es muy simpático ¡muy recomendable,positif
10296944,merci à julie de ce très bon séjour parisien la description du lieu est en tous points conforme  propre bien placé silencieux car en retrait de la rue bien achalandé en commerces et restaurants tout autour station de métro à 3' gare montparnasse à 15' à pied julie a fait preuve de souplesse et d'efficacité accueil tardif  minuit  départ décallé le tout avec le sourire une adresse et une hôte sse à conseiller nous reviendrons virginie jacques,positif
87769799,hôte très disponible tout était parfaitement indiqué et l'appartement correspond aux photos c'est un parfait compromis en terme de prix et être dans le centre de paris,positif
62955635,antonella est une hôte formidable qui sait vous mettre à l'aise je recommande cette adresse et j'y retournerai très volontiers pour raison personnelle le quartier est agréable et très bien situé?,positif
1735650,très bon séjour chez diane l'appartement est confortable et jolie diane laisse en plus guide et diverses informations merci pour tout,positif
64137019,appartement spacieux très bien situé agréable proche des transports et de paris lit confortable mais logement un peu froid en hiver car en rdc et nous avons cherché le chauffage le vendredi soir nous ne savions pas que le chauffe eau devait être enclenché dans la cuisine pour mettre en marche les radiateurs manque d'eau chaude dans la douche un peu dommage alors qu'elle est très chaude dans l'évier et le lavabo nous avons essayé de joindre hélène mais malheureusement présente à l'étranger elle n'a reçu nos messages que le dernier jour de notre séjour,positif
33173179,accueil très sympathique appartement agréable dans un quartier génial parfait pour visiter paris merci céline,positif
111149044,nous avons passé un séjour familial très agréable dans l'appartement de françois tout le monde a apprécié le confort et la décoration de l'appartement sa situation le calme et la vue françois a été très disponible pour nous donner toutes les informations nécessaires et ses contacts sur place particulièrement gentils et disponibles pour nous accueillir malgré une heure de retard à l'arrivée merci spécial à khady et son frère magali,positif
74161800,très bien reçu dès mon arrivée et les échanges du séjour ont été très enrichissants les discussions fortes instructives je recommande,positif
